week,date,day,game,market,pick,our_num,market_num,gap,tier,result,win_pct,opened_num,opened_tier
2,2026-09-17,Thursday,DET@BUF,Spread,DET +4.5,2.6,4.5,-1.9,D,,,2.2,D
2,2026-09-17,Thursday,DET@BUF,Moneyline,DET,42.6,34.3,8.3,C,,42.6,43.9,C
2,2026-09-17,Thursday,DET@BUF,Total,UNDER 53.5,48.7,53.5,-4.8,D,,66.8,50.1,D
2,2026-09-20,Sunday,CAR@ATL,Spread,ATL +2.5,1.4,-2.5,3.9,D,,,1.2,D
2,2026-09-20,Sunday,CAR@ATL,Moneyline,ATL,53.8,41.7,12.1,C,,53.8,53.3,D
2,2026-09-20,Sunday,CAR@ATL,Total,OVER 43.5,43.9,43.5,0.4,D,,51.2,44.2,D
2,2026-09-20,Sunday,NO@BAL,Spread,BAL -8.5,10.5,8.5,2.0,D,,,10.2,D
2,2026-09-20,Sunday,NO@BAL,Moneyline,BAL,78.1,77.2,0.9,C,,78.1,77.5,C
2,2026-09-20,Sunday,NO@BAL,Total,UNDER 46.5,39.2,46.5,-7.3,D,,75.6,38.7,D
2,2026-09-20,Sunday,MIN@CHI,Spread,MIN +5.5,3.7,5.5,-1.8,D,,,3.6,D
2,2026-09-20,Sunday,MIN@CHI,Moneyline,MIN,40.0,33.1,6.9,C,,40.0,60.5,C
2,2026-09-20,Sunday,MIN@CHI,Total,UNDER 48.5,41.3,48.5,-7.2,D,,75.8,40.1,D
2,2026-09-20,Sunday,CIN@HOU,Spread,CIN +2.5,0.9,2.5,-1.6,D,,,1.5,D
2,2026-09-20,Sunday,CIN@HOU,Moneyline,CIN,47.3,43.7,3.6,C,,47.3,45.6,C
2,2026-09-20,Sunday,CIN@HOU,Total,UNDER 46.5,44.7,46.5,-1.8,D,,56.8,44.0,D
2,2026-09-20,Sunday,PIT@NE,Spread,NE -5.5,5.5,5.5,0.0,D,,,6.6,D
2,2026-09-20,Sunday,PIT@NE,Moneyline,PIT,34.3,33.1,1.2,D,,34.3,68.5,C
2,2026-09-20,Sunday,PIT@NE,Total,OVER 41.5,47.4,41.5,5.9,D,,71.4,49.5,D
2,2026-09-20,Sunday,GB@NYJ,Spread,GB -4.5,-5.0,-4.5,-0.5,D,,,-6.7,D
2,2026-09-20,Sunday,GB@NYJ,Moneyline,GB,64.8,64.5,0.3,C,,64.8,69.2,C
2,2026-09-20,Sunday,GB@NYJ,Total,OVER 44.5,50.1,44.5,5.6,D,,69.9,50.9,D
2,2026-09-20,Sunday,CLE@TB,Spread,CLE +8.5,8.2,8.5,-0.3,D,,,7.7,D
2,2026-09-20,Sunday,CLE@TB,Moneyline,CLE,27.3,22.8,4.5,D,,27.3,71.3,C
2,2026-09-20,Sunday,CLE@TB,Total,UNDER 40.5,34.3,40.5,-6.2,D,,72.1,32.9,D
2,2026-09-20,Sunday,PHI@TEN,Spread,TEN +7.0,-6.6,-7.0,0.4,D,,,-6.7,D
2,2026-09-20,Sunday,PHI@TEN,Moneyline,TEN,31.8,27.8,4.0,D,,31.8,69.2,C
2,2026-09-20,Sunday,PHI@TEN,Total,OVER 39.5,41.6,39.5,2.1,D,,58.0,41.2,D
2,2026-09-20,Sunday,JAX@DEN,Spread,JAX +2.5,-0.0,2.5,-2.5,D,,,2.0,D
2,2026-09-20,Sunday,JAX@DEN,Moneyline,JAX,50.3,43.7,6.6,C,,50.3,43.4,C
2,2026-09-20,Sunday,JAX@DEN,Total,UNDER 44.5,41.4,44.5,-3.1,D,,61.5,41.2,D
2,2026-09-20,Sunday,LV@LAC,Spread,LAC -7.0,9.2,7.0,2.2,D,,,11.1,D
2,2026-09-20,Sunday,LV@LAC,Moneyline,LAC,75.3,72.6,2.7,C,,75.3,79.3,C
2,2026-09-20,Sunday,LV@LAC,Total,UNDER 43.5,35.1,43.5,-8.4,D,,78.4,34.8,D
2,2026-09-20,Sunday,SEA@ARI,Spread,SEA -4.5,-12.3,-4.5,-7.8,C,,,-13.9,C
2,2026-09-20,Sunday,SEA@ARI,Moneyline,SEA,81.4,66.4,15.0,C,,81.4,84.4,C
2,2026-09-20,Sunday,SEA@ARI,Total,OVER 41.5,42.8,41.5,1.3,D,,55.2,42.8,D
2,2026-09-20,Sunday,WAS@DAL,Spread,WAS +4.5,4.6,4.5,0.1,D,,,5.6,D
2,2026-09-20,Sunday,WAS@DAL,Moneyline,WAS,37.8,34.3,3.5,C,,37.8,65.0,C
2,2026-09-20,Sunday,WAS@DAL,Total,OVER 50.5,59.3,50.5,8.8,D,,79.3,59.4,D
2,2026-09-20,Sunday,MIA@SF,Spread,SF -13.5,14.6,13.5,1.1,D,,,14.6,D
2,2026-09-20,Sunday,MIA@SF,Moneyline,MIA,14.4,13.2,1.2,D,,14.4,85.9,C
2,2026-09-20,Sunday,MIA@SF,Total,OVER 45.5,50.2,45.5,4.7,D,,67.0,51.6,D
2,2026-09-20,Sunday,IND@KC,Spread,KC -6.5,9.3,6.5,2.8,D,,,8.1,D
2,2026-09-20,Sunday,IND@KC,Moneyline,KC,74.0,72.2,1.8,C,,74.0,29.0,D
2,2026-09-20,Sunday,IND@KC,Total,UNDER 47.5,43.2,47.5,-4.3,D,,65.4,45.4,D
2,2026-09-21,Monday,NYG@LA,Spread,LA -7.0,7.9,7.0,0.9,D,,,10.0,D
2,2026-09-21,Monday,NYG@LA,Moneyline,NYG,29.4,25.2,4.2,D,,29.4,24.7,D
2,2026-09-21,Monday,NYG@LA,Total,OVER 48.5,53.5,48.5,5.0,D,,68.0,52.9,D
