written_utc,season,week,away,home,qb_out,starters_out,confidence,spread_open,spread_at_write,total_open,total_at_write,our_number
2026-09-10T12:23:13+00:00,2026,2,MIA,SF,,,,,10.5,,46.5,14.6
2026-09-10T12:23:13+00:00,2026,2,IND,KC,,,,,6.5,,47.5,8.1
2026-09-10T12:23:13+00:00,2026,2,NYG,LA,,,,,9.5,,48.5,10.0
2026-09-11T12:21:51+00:00,2026,2,PIT,NE,,,,,4.5,,43.5,6.6
2026-09-14T14:25:11+00:00,2026,2,SEA,ARI,,,,,-4.5,,41.5,-13.9
2026-09-15T23:30:38+00:00,2026,2,DET,BUF,none,2,confirmed,,4.5,,53.5,2.6
2026-09-15T23:30:38+00:00,2026,2,CAR,ATL,home,3,unconfirmed,,-2.5,,43.5,1.4
2026-09-15T23:30:38+00:00,2026,2,MIN,CHI,away,1,unconfirmed,,5.5,,48.5,3.7
2026-09-15T23:30:38+00:00,2026,2,CIN,HOU,none,1,reported,,2.5,,46.5,0.9
2026-09-15T23:30:38+00:00,2026,2,PIT,NE,none,1,confirmed,,5.5,,41.5,5.5
2026-09-15T23:30:38+00:00,2026,2,GB,NYJ,none,2,confirmed,,-4.5,,44.5,-5.0
2026-09-15T23:30:38+00:00,2026,2,CLE,TB,none,1,confirmed,,8.5,,40.5,8.2
2026-09-15T23:30:38+00:00,2026,2,PHI,TEN,none,1,confirmed,,-7.0,,39.5,-6.6
2026-09-15T23:30:38+00:00,2026,2,SEA,ARI,away,1,reported,,-4.5,,41.5,-12.3
2026-09-15T23:30:38+00:00,2026,2,WAS,DAL,none,2,confirmed,,4.5,,50.5,4.6
2026-09-15T23:30:38+00:00,2026,2,MIA,SF,none,1,confirmed,,13.5,,45.5,14.6
2026-09-15T23:30:38+00:00,2026,2,NYG,LA,none,1,confirmed,,7.0,,48.5,7.9
2026-09-18T12:22:49+00:00,2026,3,ATL,GB,,,,,6.5,,46.5,5.9
2026-09-18T12:22:49+00:00,2026,3,LAC,BUF,,,,,4.5,,50.5,4.0
2026-09-18T12:22:49+00:00,2026,3,CAR,CLE,,,,,-2.5,,40.5,-2.9
2026-09-18T12:22:49+00:00,2026,3,NYJ,DET,,,,,7.5,,48.5,10.8
2026-09-18T12:22:49+00:00,2026,3,HOU,IND,,,,,-2.5,,45.5,-2.9
2026-09-18T12:22:49+00:00,2026,3,NE,JAX,,,,,2.5,,45.5,0.7
2026-09-18T12:22:49+00:00,2026,3,KC,MIA,,,,,-8.5,,44.5,-10.7
2026-09-18T12:22:49+00:00,2026,3,TEN,NYG,,,,,5.5,,43.5,4.3
2026-09-18T12:22:49+00:00,2026,3,CIN,PIT,,,,,-2.5,,45.5,0.3
2026-09-18T12:22:49+00:00,2026,3,SEA,WAS,,,,,-2.5,,41.5,-4.3
2026-09-18T12:22:49+00:00,2026,3,ARI,SF,,,,,8.5,,47.5,14.8
2026-09-18T12:22:49+00:00,2026,3,MIN,TB,,,,,1.5,,45.5,1.0
2026-09-18T12:22:49+00:00,2026,3,BAL,DAL,,,,,-3.0,,52.5,-5.2
2026-09-18T12:22:49+00:00,2026,3,LV,NO,,,,,3.0,,45.5,5.5
2026-09-18T12:22:49+00:00,2026,3,LA,DEN,,,,,-2.5,,46.5,-1.1
2026-09-18T12:22:49+00:00,2026,3,PHI,CHI,,,,,1.5,,47.5,0.3
2026-09-18T19:48:58+00:00,2026,2,MIN,CHI,away,3,confirmed,,4.5,,47.5,3.7
2026-09-18T19:48:58+00:00,2026,2,SEA,ARI,away,1,confirmed,,-3.5,,40.5,-12.3
