week,date,day,game,market,pick,our_num,market_num,gap,tier,result,win_pct,opened_num,opened_tier
1,2026-09-09,Wednesday,NE@SEA,Spread,NE +3.0,2.2,3.0,-0.8,D,,,2.2,B
1,2026-09-09,Wednesday,NE@SEA,Moneyline,NE,43.4,39.6,3.8,C,,43.4,43.4,D
1,2026-09-09,Wednesday,NE@SEA,Total,OVER 44.5,46.1,44.5,1.6,D,,56.4,45.9,A
1,2026-09-10,Thursday,SF@LA,Spread,SF +3.5,2.1,3.5,-1.4,D,,,2.1,B
1,2026-09-10,Thursday,SF@LA,Moneyline,SF,44.6,36.3,8.3,C,,44.6,44.6,C
1,2026-09-10,Thursday,SF@LA,Total,OVER 48.5,57.0,48.5,8.5,D,,78.7,54.9,A
1,2026-09-13,Sunday,CHI@CAR,Spread,CAR +3.0,-2.6,-3.0,0.4,D,,,-2.6,C
1,2026-09-13,Sunday,CHI@CAR,Moneyline,CAR,43.1,41.7,1.4,C,,43.1,43.1,D
1,2026-09-13,Sunday,CHI@CAR,Total,OVER 47.5,48.6,47.5,1.1,D,,53.7,47.9,D
1,2026-09-13,Sunday,TB@CIN,Spread,CIN -3.5,3.6,3.5,0.1,D,,,3.6,D
1,2026-09-13,Sunday,TB@CIN,Moneyline,TB,40.3,36.3,4.0,C,,40.3,40.3,D
1,2026-09-13,Sunday,TB@CIN,Total,UNDER 50.5,48.5,50.5,-2.0,D,,57.4,47.8,A
1,2026-09-13,Sunday,NO@DET,Spread,DET -7.0,7.7,7.0,0.7,D,,,7.7,C
1,2026-09-13,Sunday,NO@DET,Moneyline,NO,29.9,27.4,2.5,D,,29.9,29.9,D
1,2026-09-13,Sunday,NO@DET,Total,UNDER 49.5,40.3,49.5,-9.2,D,,80.8,41.5,A
1,2026-09-13,Sunday,BUF@HOU,Spread,HOU +1.5,-0.6,-1.5,0.9,D,,,-0.6,B
1,2026-09-13,Sunday,BUF@HOU,Moneyline,BUF,51.7,51.1,0.6,D,,51.7,51.7,C
1,2026-09-13,Sunday,BUF@HOU,Total,OVER 44.5,44.8,44.5,0.3,D,,51.5,44.8,C
1,2026-09-13,Sunday,BAL@IND,Spread,BAL -3.5,-6.7,-3.5,-3.2,D,,,-6.7,A
1,2026-09-13,Sunday,BAL@IND,Moneyline,BAL,68.0,60.9,7.1,C,,68.0,68.0,A
1,2026-09-13,Sunday,BAL@IND,Total,OVER 47.5,48.2,47.5,0.7,D,,52.2,47.6,D
1,2026-09-13,Sunday,CLE@JAX,Spread,JAX -8.5,9.2,8.5,0.7,D,,,9.2,C
1,2026-09-13,Sunday,CLE@JAX,Moneyline,CLE,24.8,21.3,3.5,D,,24.8,24.8,D
1,2026-09-13,Sunday,CLE@JAX,Total,UNDER 40.5,30.8,40.5,-9.7,D,,82.0,33.5,A
1,2026-09-13,Sunday,ATL@PIT,Spread,PIT -3.5,4.1,3.5,0.6,D,,,4.1,C
1,2026-09-13,Sunday,ATL@PIT,Moneyline,PIT,62.7,62.2,0.5,C,,62.7,62.7,D
1,2026-09-13,Sunday,ATL@PIT,Total,OVER 42.5,44.9,42.5,2.4,D,,58.9,44.8,A
1,2026-09-13,Sunday,NYJ@TEN,Spread,TEN -1.5,3.6,1.5,2.1,D,,,3.6,A
1,2026-09-13,Sunday,NYJ@TEN,Moneyline,TEN,60.0,53.2,6.8,C,,60.0,60.0,A
1,2026-09-13,Sunday,NYJ@TEN,Total,OVER 39.5,45.1,39.5,5.6,D,,69.5,45.0,A
1,2026-09-13,Sunday,ARI@LAC,Spread,LAC -9.5,15.2,9.5,5.7,D,,,15.2,A
1,2026-09-13,Sunday,ARI@LAC,Moneyline,LAC,85.4,79.1,6.3,C,,85.4,85.4,A
1,2026-09-13,Sunday,ARI@LAC,Total,UNDER 47.5,43.6,47.5,-3.9,D,,64.2,44.1,A
1,2026-09-13,Sunday,MIA@LV,Spread,MIA +3.5,2.9,3.5,-0.6,D,,,2.9,C
1,2026-09-13,Sunday,MIA@LV,Moneyline,MIA,41.8,37.8,4.0,C,,41.8,41.8,D
1,2026-09-13,Sunday,MIA@LV,Total,UNDER 41.5,40.0,41.5,-1.5,D,,54.9,41.2,D
1,2026-09-13,Sunday,GB@MIN,Spread,GB +1.5,-0.6,1.5,-2.1,D,,,-0.6,A
1,2026-09-13,Sunday,GB@MIN,Moneyline,GB,52.1,47.4,4.7,C,,52.1,52.1,B
1,2026-09-13,Sunday,GB@MIN,Total,UNDER 46.5,43.1,46.5,-3.4,D,,62.1,43.7,A
1,2026-09-13,Sunday,WAS@PHI,Spread,PHI -5.5,7.7,5.5,2.2,D,,,7.7,A
1,2026-09-13,Sunday,WAS@PHI,Moneyline,PHI,71.5,65.7,5.8,C,,71.5,71.5,A
1,2026-09-13,Sunday,WAS@PHI,Total,OVER 44.5,47.5,44.5,3.0,D,,61.0,46.9,A
1,2026-09-13,Sunday,DAL@NYG,Spread,NYG +3.0,-2.6,-3.0,0.4,D,,,-2.6,C
1,2026-09-13,Sunday,DAL@NYG,Moneyline,NYG,42.7,40.7,2.0,C,,42.7,42.7,D
1,2026-09-13,Sunday,DAL@NYG,Total,OVER 48.5,54.5,48.5,6.0,D,,71.5,52.6,A
1,2026-09-14,Monday,DEN@KC,Spread,KC -3.0,4.3,3.0,1.3,D,,,4.3,B
1,2026-09-14,Monday,DEN@KC,Moneyline,KC,62.6,57.2,5.4,C,,62.6,62.6,A
1,2026-09-14,Monday,DEN@KC,Total,UNDER 43.5,41.3,43.5,-2.2,D,,57.8,40.5,A
